"Inequality in education (%)"
"HDI Rank (2018)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"12","Finland","4.7","","2.1","","2.4","","2.1","","2.1","","2.0","","2.0","","1.9","","2.3"," a,b"
"26","France","9.1","","9.1","","9.4","","8.6","","8.0","","7.5","","8.6","","8.6","","9.1"," a,b"
"115","Gabon","7.3","","7.3","","7.3","","23.5","","23.5","","23.5","","23.5","","23.5","","23.5"," a,b"
"174","Gambia","44.7","","..","","..","","..","","..","","..","","49.3","","49.3","","49.3"," a,b"
"70","Georgia","4.9","","3.3","","3.3","","3.3","","3.3","","2.2","","2.2","","2.2","","3.2"," a,b"
"4","Germany","2.3","","1.8","","1.8","","2.4","","2.4","","2.6","","2.6","","2.7","","2.7"," a,b"
"142","Ghana","7.5","","40.9","","40.9","","35.6","","36.7","","34.9","","34.9","","34.9","","34.9"," a,b"
"32","Greece","5.8","","14.3","","11.3","","11.3","","11.6","","11.7","","14.2","","13.1","","12.8"," a,b"
"126","Guatemala","36.1","","36.1","","36.1","","36.1","","36.2","","36.2","","35.0","","35.0","","30.8"," a,b"
"174","Guinea","42.6","","42.0","","42.0","","42.0","","48.3","","48.3","","48.3","","48.3","","48.3"," a,b"
"178","Guinea-Bissau","40.3","","40.3","","40.3","","40.3","","40.3","","40.3","","41.9","","41.9","","41.9"," a,b"
"123","Guyana","9.6","","11.7","","10.5","","10.5","","10.5","","10.5","","10.7","","10.7","","10.7"," a,b"
"169","Haiti","40.7","","40.7","","40.7","","40.4","","38.3","","38.3","","38.3","","38.3","","37.3"," a,b"
"132","Honduras","31.0","","31.8","","28.2","","29.6","","26.4","","24.4","","23.0","","22.7","","26.6"," a,b"
"4","Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","11.1","","10.2","","9.8"," a,b"
"43","Hungary","4.1","","4.0","","4.1","","3.5","","3.2","","3.1","","3.0","","3.2","","3.2"," a,b"
"6","Iceland","2.6","","2.6","","2.5","","2.5","","2.4","","2.5","","2.6","","2.6","","2.8"," a,b"
"129","India","40.6","","40.6","","42.4","","42.1","","42.1","","39.4","","39.4","","38.7","","11.9"," a,b"
"111","Indonesia","21.4","","20.4","","20.4","","23.2","","20.8","","20.8","","20.8","","16.5","","18.2"," a,b"
"65","Iran (Islamic Republic of)","..","","..","","..","","37.3","","37.3","","37.3","","..","","4.9","","5.0"," a,b"
"120","Iraq","..","","..","","33.0","","29.8","","30.6","","30.6","","29.8","","27.2","","29.7"," a,b"
"3","Ireland","3.2","","3.2","","3.2","","5.2","","5.4","","3.0","","2.9","","2.9","","3.5"," a,b"
"22","Israel","7.9","","7.9","","7.9","","7.9","","9.9","","8.4","","8.4","","7.0","","3.7"," a,b"
"29","Italy","11.8","","11.4","","13.1","","11.7","","10.6","","9.9","","11.5","","10.5","","11.0"," a,b"
"96","Jamaica","8.3","","8.3","","10.6","","10.6","","5.6","","5.6","","5.6","","5.6","","5.6"," a,b"
"19","Japan","..","","..","","..","","19.8","","19.8","","19.8","","19.8","","..","","1.6"," a,b"
"102","Jordan","25.1","","22.4","","22.4","","22.4","","16.9","","16.9","","16.9","","16.9","","15.4"," a,b"
"50","Kazakhstan","5.3","","5.3","","6.9","","5.9","","5.9","","5.9","","3.2","","3.2","","3.2"," a,b"
"147","Kenya","29.2","","30.7","","30.7","","30.7","","26.0","","22.9","","22.9","","22.9","","22.9"," a,b"
"132","Kiribati","..","","..","","..","","21.4","","21.4","","21.4","","21.4","","21.4","","..",""
"22","Korea (Republic of)","25.5","","25.5","","25.5","","28.1","","25.5","","25.5","","18.5","","18.5","","18.5"," a,b"
"57","Kuwait","..","","..","","..","","..","","..","","..","","17.2","","17.8","","22.1"," a,b"
"122","Kyrgyzstan","11.1","","11.1","","6.5","","6.6","","5.0","","5.0","","5.0","","5.0","","5.0"," a,b"
"140","Lao People's Democratic Republic","30.5","","30.5","","31.2","","34.1","","34.1","","34.1","","34.1","","34.1","","31.3"," a,b"
"39","Latvia","3.3","","3.8","","3.6","","3.6","","3.5","","3.8","","3.7","","3.7","","2.6"," a,b"
"93","Lebanon","..","","24.1","","24.1","","24.1","","24.1","","24.1","","6.2","","6.2","","6.2"," a,b"
"164","Lesotho","24.9","","24.3","","24.3","","24.3","","24.3","","24.3","","21.9","","21.9","","21.9"," a,b"
"176","Liberia","46.4","","46.4","","46.4","","46.4","","46.4","","42.9","","42.9","","42.9","","42.9"," a,b"
"34","Lithuania","4.3","","4.1","","5.0","","6.1","","5.9","","5.6","","5.4","","4.5","","4.3"," a,b"
"21","Luxembourg","6.2","","6.2","","6.3","","6.0","","6.0","","5.8","","8.1","","9.4","","8.0"," a,b"
"162","Madagascar","30.8","","30.1","","30.1","","30.1","","35.0","","35.0","","35.0","","35.0","","35.0"," a,b"
"172","Malawi","34.7","","34.7","","30.2","","30.2","","30.2","","28.2","","28.4","","28.4","","28.4"," a,b"
"61","Malaysia","..","","..","","..","","..","","..","","..","","..","","15.6","","12.1"," a,b"
"104","Maldives","11.5","","41.2","","41.2","","41.2","","40.0","","40.0","","40.0","","40.0","","29.3"," a,b"
"184","Mali","36.9","","36.9","","36.9","","36.9","","41.6","","41.6","","41.6","","46.2","","39.2"," a,b"
"28","Malta","..","","..","","5.5","","5.7","","7.3","","6.0","","6.7","","6.9","","6.7"," a,b"
"117","Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","4.3"," a,b"
"161","Mauritania","43.2","","43.2","","42.1","","45.9","","40.8","","40.8","","40.8","","40.8","","40.8"," a,b"
"66","Mauritius","..","","13.5","","13.5","","13.2","","13.2","","13.2","","13.2","","13.2","","13.2"," a,b"
"76","Mexico","17.9","","21.9","","21.9","","21.4","","19.7","","19.7","","17.1","","17.1","","18.5"," a,b"
"135","Micronesia (Federated States of)","22.4","","22.4","","..","","..","","..","","..","","..","","..","","..",""
"107","Moldova (Republic of)","7.5","","6.1","","6.1","","6.1","","7.3","","7.3","","7.3","","7.3","","7.3"," a,b"
"92","Mongolia","5.8","","5.8","","8.9","","5.2","","9.4","","9.4","","11.9","","11.9","","11.9"," a,b"
"52","Montenegro","9.6","","2.5","","2.5","","2.5","","7.4","","7.4","","7.4","","7.4","","7.4"," a,b"
"121","Morocco","42.7","","45.8","","45.8","","45.8","","45.8","","45.8","","..","","..","","..",""
"180","Mozambique","28.2","","18.2","","18.2","","18.2","","33.8","","33.8","","33.8","","33.8","","33.8"," a,b"
"145","Myanmar","..","","..","","..","","19.4","","19.4","","19.4","","26.9","","26.9","","26.9"," a,b"
"130","Namibia","27.8","","27.8","","27.8","","27.8","","27.8","","25.0","","25.0","","25.0","","25.0"," a,b"
"147","Nepal","43.3","","43.6","","43.6","","44.0","","41.4","","43.9","","43.9","","40.9","","40.9"," a,b"
"10","Netherlands","4.0","","3.9","","3.9","","4.1","","4.1","","4.2","","4.6","","5.3","","4.9"," a,b"
"14","New Zealand","..","","..","","..","","..","","..","","..","","2.5","","1.7","","6.4"," a,b"
"126","Nicaragua","33.3","","33.3","","33.3","","33.3","","29.5","","29.5","","25.7","","25.7","","25.7"," a,b"
"189","Niger","31.3","","39.5","","39.5","","39.5","","35.0","","35.0","","35.0","","35.0","","35.0"," a,b"
"158","Nigeria","46.0","","44.2","","45.2","","45.2","","43.3","","43.3","","43.8","","38.1","","38.1"," a,b"
"82","North Macedonia","17.5","","17.5","","12.3","","10.6","","10.6","","10.6","","10.5","","10.5","","10.5"," a,b"
"1","Norway","2.4","","2.2","","2.2","","2.4","","2.3","","2.4","","5.3","","6.1","","4.4"," a,b"
"47","Oman","..","","..","","..","","..","","..","","..","","..","","..","","9.1"," a,b"
"152","Pakistan","46.4","","46.4","","45.2","","45.2","","44.4","","44.4","","44.4","","46.2","","43.5"," a,b"
"55","Palau","..","","..","","..","","12.0","","12.0","","12.0","","12.0","","..","","1.9"," a,b"
"119","Palestine, State of","..","","..","","..","","6.9","","16.5","","16.5","","13.3","","14.1","","11.9"," a,b"
"67","Panama","9.9","","17.8","","17.8","","16.3","","16.6","","13.6","","13.1","","12.5","","12.5"," a,b"
"155","Papua New Guinea","..","","..","","..","","11.5","","11.5","","11.5","","11.5","","11.5","","11.5"," a,b"
"98","Paraguay","19.8","","19.8","","..","","17.2","","16.2","","14.0","","13.8","","16.7","","18.1"," a,b"
"82","Peru","30.2","","24.0","","24.6","","25.6","","23.3","","20.3","","16.1","","15.3","","18.1"," a,b"
"106","Philippines","12.9","","13.5","","13.5","","13.5","","11.6","","11.6","","11.6","","11.6","","10.1"," a,b"
"32","Poland","7.1","","6.6","","6.3","","5.6","","5.6","","5.4","","5.4","","4.7","","5.2"," a,b"
"40","Portugal","5.7","","5.6","","5.6","","5.7","","5.9","","5.9","","17.5","","16.3","","15.8"," a,b"
"41","Qatar","..","","..","","..","","..","","..","","..","","11.9","","11.4","","11.8"," a,b"
"52","Romania","13.1","","5.0","","5.0","","5.0","","4.7","","4.6","","6.0","","6.3","","5.3"," a,b"
"49","Russian Federation","11.2","","11.2","","..","","2.1","","2.3","","2.2","","2.2","","2.2","","3.1"," a,b"
"157","Rwanda","30.7","","30.7","","29.4","","29.4","","29.4","","29.3","","29.3","","29.3","","29.3"," a,b"
"89","Saint Lucia","..","","..","","..","","..","","9.2","","9.2","","9.2","","12.6","","12.6"," a,b"
"111","Samoa","..","","..","","..","","..","","..","","..","","..","","4.9","","4.9"," a,b"
"137","Sao Tome and Principe","22.7","","19.1","","20.0","","20.0","","21.4","","21.4","","18.3","","18.3","","18.3"," a,b"
"36","Saudi Arabia","..","","..","","..","","..","","..","","..","","16.4","","16.2","","18.0"," a,b"
"166","Senegal","47.3","","45.1","","44.6","","44.6","","44.7","","44.7","","45.3","","46.5","","46.0"," a,b"
"63","Serbia","11.1","","9.9","","9.9","","10.7","","8.1","","8.1","","9.3","","8.1","","8.1"," a,b"
"181","Sierra Leone","48.2","","47.4","","47.4","","48.7","","49.6","","47.3","","47.3","","47.3","","46.9"," a,b"
"9","Singapore","..","","..","","..","","..","","..","","..","","8.8","","8.2","","11.0"," a,b"
"36","Slovakia","1.7","","1.6","","1.5","","1.5","","1.5","","1.4","","1.6","","1.4","","1.6"," a,b"
"24","Slovenia","4.0","","3.1","","3.3","","2.7","","2.6","","2.6","","2.2","","2.2","","2.2"," a,b"
"153","Solomon Islands","30.2","","..","","..","","22.8","","22.8","","22.8","","..","","..","","..",""
"..","Somalia","..","","..","","..","","..","","43.5","","43.5","","..","","..","","..",""
"113","South Africa","20.8","","20.8","","20.8","","18.1","","16.1","","13.8","","14.3","","14.3","","17.3"," a,b"
"186","South Sudan","..","","..","","..","","..","","39.6","","39.6","","39.6","","39.6","","39.6"," a,b"
"25","Spain","5.7","","5.5","","5.5","","5.4","","5.2","","5.1","","19.2","","18.6","","17.1"," a,b"
"71","Sri Lanka","17.9","","17.9","","14.6","","14.6","","12.8","","12.8","","12.8","","12.8","","7.4"," a,b"
"168","Sudan","..","","..","","..","","..","","42.7","","42.7","","42.5","","42.5","","42.5"," a,b"
"98","Suriname","20.1","","20.1","","20.1","","19.5","","19.0","","19.0","","15.2","","15.6","","15.6"," a,b"
"8","Sweden","3.6","","3.9","","3.8","","3.6","","3.5","","3.4","","3.5","","3.7","","3.8"," a,b"
"2","Switzerland","2.0","","2.0","","2.0","","5.8","","5.7","","5.7","","2.4","","2.4","","1.9"," a,b"
"154","Syrian Arab Republic","31.5","","31.5","","31.5","","31.5","","31.5","","31.5","","31.5","","..","","..",""
"125","Tajikistan","9.4","","9.4","","12.2","","12.2","","6.5","","6.5","","6.5","","6.5","","6.0"," a,b"
"159","Tanzania (United Republic of)","28.7","","32.8","","28.3","","29.5","","28.5","","28.5","","27.0","","27.0","","27.0"," a,b"
"77","Thailand","18.0","","18.0","","18.0","","16.1","","16.1","","16.1","","16.6","","13.3","","18.3"," a,b"
"131","Timor-Leste","44.3","","47.4","","47.6","","47.6","","47.6","","47.6","","47.6","","44.9","","44.9"," a,b"
"167","Togo","41.5","","41.5","","41.5","","37.6","","38.9","","38.9","","38.9","","38.9","","38.9"," a,b"
"105","Tonga","5.1","","..","","..","","..","","..","","..","","..","","4.5","","4.5"," a,b"
"63","Trinidad and Tobago","6.6","","6.6","","6.6","","6.6","","6.6","","6.6","","6.6","","..","","..",""
"91","Tunisia","38.7","","38.7","","..","","..","","34.6","","34.6","","34.6","","34.6","","32.8"," a,b"
"59","Turkey","27.4","","27.4","","27.4","","14.1","","14.2","","14.2","","14.2","","13.5","","16.5"," a,b"
"108","Turkmenistan","10.2","","..","","..","","..","","..","","..","","3.6","","3.6","","3.6"," a,b"
"..","Tuvalu","..","","..","","..","","10.5","","10.5","","10.5","","10.5","","10.5","","10.5"," a,b"
"159","Uganda","28.2","","32.2","","32.2","","31.2","","29.4","","29.4","","29.4","","27.9","","27.9"," a,b"
"88","Ukraine","2.8","","6.1","","6.1","","6.1","","3.6","","3.6","","3.6","","3.6","","3.6"," a,b"
"35","United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","18.2"," a,b"
"15","United Kingdom","2.1","","2.2","","2.6","","2.6","","2.8","","2.8","","8.7","","3.7","","2.8"," a,b"
"15","United States","3.2","","3.7","","5.3","","6.7","","5.3","","5.6","","5.6","","5.5","","5.5"," a,b"
"57","Uruguay","10.8","","10.8","","10.8","","10.9","","9.2","","10.4","","7.4","","7.4","","8.2"," a,b"
"108","Uzbekistan","1.4","","1.4","","1.4","","1.4","","1.4","","1.4","","1.3","","0.8","","0.7"," a,b"
"141","Vanuatu","..","","..","","..","","..","","17.5","","17.5","","17.5","","17.5","","..",""
"96","Venezuela (Bolivarian Republic of)","17.0","","18.1","","18.1","","17.6","","17.6","","17.6","","14.5","","12.9","","8.8"," a,b"
"118","Viet Nam","17.1","","17.1","","17.1","","18.0","","18.0","","17.6","","17.6","","17.6","","17.6"," a,b"
"177","Yemen","49.8","","49.8","","49.8","","47.2","","48.1","","48.1","","46.1","","46.1","","46.1"," a,b"
"143","Zambia","24.2","","23.8","","23.8","","23.8","","21.7","","21.7","","21.7","","21.7","","21.7"," a,b"
"150","Zimbabwe","20.1","","20.1","","17.8","","17.8","","17.4","","17.4","","16.8","","16.8","","16.8"," a,b"
"74","Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43","Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182","Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78","Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"73","Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"110","Libya","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62","Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94","Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","8.0","","8.0","","8.2","","8.2","","7.7","","7.6","","8.4","","7.1","","7.1",""
" ","High human development","22.2","","22.2","","22.1","","21.9","","20.8","","19.8","","18.6","","14.2","","14.8",""
" ","Medium human development","38.8","","39.1","","39.9","","38.9","","38.7","","36.9","","36.9","","36.5","","19.9",""
" ","Low human development","38.1","","38.1","","37.9","","38.6","","38.7","","37.7","","37.6","","37.4","","37.4",""
" ","Developing Countries","30.2","","30.3","","30.6","","32.7","","32.4","","31.0","","30.5","","25.3","","19.8",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","41.8","","40.5","","39.5","","38.0","","38.9","","37.1","","32.8","","32.5","","32.5",""
" ","East Asia and the Pacific","22.1","","22.0","","21.9","","19.7","","18.4","","18.3","","18.9","","13.1","","13.5",""
" ","Europe and Central Asia","12.8","","12.9","","13.0","","8.6","","7.9","","7.9","","7.4","","7.2","","8.3",""
" ","Latin America and the Caribbean","22.6","","23.2","","23.0","","22.2","","21.0","","19.7","","18.4","","18.4","","19.7",""
" ","South Asia","41.3","","40.9","","42.1","","41.6","","41.5","","39.5","","39.7","","37.8","","18.4",""
" ","Sub-Saharan Africa","34.3","","35.6","","35.3","","35.7","","35.3","","34.0","","34.1","","33.8","","34.0",""
" ","Least Developed Countries","37.1","","36.8","","36.2","","35.6","","36.4","","35.4","","35.5","","36.2","","36.3",""
" ","Small Island Developing States","27.6","","29.6","","30.1","","22.0","","21.1","","20.5","","19.9","","19.6","","19.7",""
" ","Organization for Economic Co-operation and Development","8.4","","9.0","","9.6","","10.2","","9.5","","9.5","","10.0","","8.3","","8.2",""
" ","World","26.2","","26.3","","27.0","","27.2","","26.9","","25.9","","25.7","","22.3","","17.4",""
"a: See http://hdr.undp.org/en/composite/IHDI for the list of surveys used to estimate inequalities."
"b: Data refer to 2018 or the most recent year available."
""
