"Inequality in life expectancy (%)"
"HDI Rank (2018)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"85","China","15.6","","13.5","","13.5","","9.8","","9.8","","8.9","","7.9"," a","7.9"," a","7.9",""
"79","Colombia","15.1","","13.7","","13.7","","13.5","","13.5","","14.3","","13.2"," a","13.2"," a","10.7",""
"156","Comoros","27.0","","32.6","","32.6","","34.2","","34.2","","30.9","","28.9"," a","28.9"," a","28.9",""
"138","Congo","41.9","","37.0","","37.0","","36.0","","36.0","","31.1","","25.1"," a","25.1"," a","22.8",""
"179","Congo (Democratic Republic of the)","52.9","","50.0","","50.0","","49.9","","49.9","","39.1","","36.1"," a","36.1"," a","36.1",""
"68","Costa Rica","8.3","","7.8","","7.8","","7.3","","7.3","","8.2","","7.5"," a","7.5"," a","7.1",""
"46","Croatia","6.0","","5.5","","5.5","","5.2","","5.2","","4.5","","4.1"," a","4.1"," a","4.3",""
"72","Cuba","..","","5.4","","5.4","","5.1","","5.1","","5.5","","5.3"," a","5.3"," a","5.1",""
"31","Cyprus","5.1","","4.1","","4.1","","3.7","","3.7","","4.0","","3.6"," a","3.6"," a","3.6",""
"26","Czechia","4.3","","3.9","","3.9","","3.7","","3.7","","3.5","","3.3"," a","3.3"," a","3.0",""
"165","Côte d'Ivoire","40.5","","37.8","","37.8","","40.2","","40.2","","39.7","","34.2"," a","34.2"," a","33.3",""
"11","Denmark","4.8","","4.4","","4.4","","4.0","","4.0","","3.8","","3.4"," a","3.4"," a","3.6",""
"171","Djibouti","41.0","","36.9","","36.9","","32.5","","32.5","","32.5","","30.8"," a","30.8"," a","23.4",""
"89","Dominican Republic","18.9","","16.0","","16.0","","16.9","","16.9","","16.8","","15.4"," a","15.4"," a","17.0",""
"85","Ecuador","15.2","","14.1","","14.1","","13.4","","13.4","","15.1","","13.9"," a","13.9"," a","11.5",""
"116","Egypt","19.8","","13.9","","13.9","","13.4","","13.4","","13.4","","11.6"," a","11.6"," a","11.6",""
"124","El Salvador","16.5","","15.2","","15.2","","14.5","","14.5","","13.7","","12.2"," a","12.2"," a","12.5",""
"144","Equatorial Guinea","48.2","","45.4","","45.4","","44.4","","44.4","","38.4","","35.0"," a","35.0"," a","34.6",""
"182","Eritrea","..","","26.6","","26.6","","24.7","","24.7","","25.9","","21.4"," a","21.4"," a","21.4",""
"30","Estonia","7.9","","6.0","","6.0","","5.6","","5.6","","4.8","","4.3"," a","4.3"," a","3.6",""
"138","Eswatini (Kingdom of)","36.4","","35.0","","35.0","","35.0","","35.0","","35.0","","26.2"," a","26.2"," a","25.1",""
"173","Ethiopia","42.1","","35.4","","35.4","","30.2","","30.2","","30.3","","24.9"," a","24.9"," a","24.9",""
"98","Fiji","13.9","","13.0","","13.0","","12.3","","12.3","","12.3","","10.9"," a","10.9"," a","14.9",""
"12","Finland","4.0","","3.9","","3.9","","3.5","","3.5","","3.4","","2.8"," a","2.8"," a","3.0",""
"26","France","4.5","","4.2","","4.2","","4.0","","4.0","","4.0","","3.6"," a","3.6"," a","3.8",""
"115","Gabon","31.9","","27.8","","27.8","","28.0","","28.0","","27.6","","23.1"," a","23.1"," a","22.8",""
"174","Gambia","38.5","","33.9","","33.9","","34.8","","34.8","","31.3","","28.5"," a","28.5"," a","28.5",""
"70","Georgia","19.0","","15.1","","15.1","","12.9","","12.9","","10.3","","8.1"," a","8.1"," a","7.9",""
"4","Germany","4.4","","4.0","","4.0","","3.7","","3.7","","3.7","","3.0"," a","3.0"," a","3.8",""
"142","Ghana","39.7","","27.5","","27.5","","30.8","","30.8","","30.8","","26.2"," a","26.2"," a","24.2",""
"32","Greece","4.0","","4.8","","4.8","","4.0","","4.0","","3.7","","3.5"," a","3.5"," a","3.5",""
"78","Grenada","..","","9.6","","9.6","","8.4","","8.4","","8.7","","8.0"," a","8.0"," a","11.2",""
"126","Guatemala","20.4","","18.6","","18.6","","17.4","","17.4","","17.0","","16.0"," a","16.0"," a","14.6",""
"174","Guinea","44.5","","42.7","","42.7","","40.3","","40.3","","35.4","","31.2"," a","31.2"," a","31.3",""
"178","Guinea-Bissau","52.5","","50.1","","50.1","","45.3","","45.3","","44.6","","38.4"," a","38.4"," a","32.3",""
"123","Guyana","25.2","","21.7","","21.7","","19.2","","19.2","","20.7","","19.5"," a","19.5"," a","19.0",""
"169","Haiti","32.9","","30.9","","30.9","","27.9","","27.9","","30.9","","28.6"," a","28.6"," a","32.2",""
"132","Honduras","19.7","","17.4","","17.4","","17.0","","17.0","","19.6","","18.1"," a","18.1"," a","13.3",""
"4","Hong Kong, China (SAR)","4.1","","2.9","","2.9","","2.8","","2.8","","2.8","","2.5"," a","2.5"," a","2.5",""
"43","Hungary","6.6","","5.7","","5.7","","5.4","","5.4","","5.2","","4.7"," a","4.7"," a","4.2",""
"6","Iceland","3.5","","3.0","","3.0","","2.8","","2.8","","2.9","","2.4"," a","2.4"," a","2.4",""
"129","India","31.3","","27.1","","27.1","","25.0","","25.0","","24.0","","21.4"," a","21.4"," a","19.7",""
"111","Indonesia","16.8","","16.8","","16.8","","16.4","","16.4","","16.5","","14.8"," a","14.8"," a","13.9",""
"65","Iran (Islamic Republic of)","17.3","","16.1","","16.1","","12.5","","12.5","","10.6","","9.0"," a","9.0"," a","9.2",""
"120","Iraq","..","","20.3","","20.3","","17.6","","17.6","","19.3","","17.3"," a","17.3"," a","15.9",""
"3","Ireland","4.6","","4.3","","4.3","","3.7","","3.7","","3.7","","2.8"," a","2.8"," a","3.4",""
"22","Israel","4.8","","3.9","","3.9","","3.8","","3.8","","3.9","","3.3"," a","3.3"," a","3.3",""
"29","Italy","4.3","","3.9","","3.9","","3.4","","3.4","","3.0","","2.9"," a","2.9"," a","3.1",""
"96","Jamaica","16.7","","15.3","","15.3","","15.0","","15.0","","11.9","","11.0"," a","11.0"," a","10.0",""
"19","Japan","3.9","","3.5","","3.5","","3.2","","3.2","","3.2","","2.9"," a","2.9"," a","2.9",""
"102","Jordan","13.3","","13.1","","13.1","","11.9","","11.9","","11.9","","10.7"," a","10.7"," a","10.6",""
"50","Kazakhstan","17.2","","16.2","","16.2","","16.7","","16.7","","11.6","","10.1"," a","10.1"," a","7.7",""
"147","Kenya","37.2","","34.1","","34.1","","31.5","","31.5","","32.1","","22.8"," a","22.8"," a","22.5",""
"132","Kiribati","..","","..","","..","","20.6","","20.6","","26.1","","24.5"," a","24.5"," a","24.7",""
"..","Korea (Democratic People's Rep. of)","..","","16.9","","..","","15.4","","15.4","","15.4","","11.6"," a","11.6"," a","11.5",""
"22","Korea (Republic of)","4.8","","4.3","","4.3","","3.9","","3.9","","3.7","","3.2"," a","3.2"," a","3.0",""
"57","Kuwait","7.3","","6.7","","6.7","","7.2","","7.2","","7.2","","6.3"," a","6.3"," a","5.9",""
"122","Kyrgyzstan","21.6","","19.8","","19.8","","20.0","","20.0","","13.6","","12.1"," a","12.1"," a","11.3",""
"140","Lao People's Democratic Republic","27.6","","21.7","","21.7","","21.5","","21.5","","26.2","","23.1"," a","23.1"," a","22.6",""
"39","Latvia","8.5","","7.1","","7.1","","7.6","","7.6","","6.7","","5.9"," a","5.9"," a","5.4",""
