"Percentage of primary schools with access to the internet"
"HDI Rank (2018)","Country","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"89","Dominican Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","23","","..","","..",""
"85","Ecuador","..","","..","","..","","..","","..","","..","","..","","..","","..","","15","","..","","..","","..","","..","","..","","..","","37","","..","","..",""
"116","Egypt","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","48","","..","","..",""
"124","El Salvador","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","27","","36","","..",""
"30","Estonia","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","..","","..",""
"138","Eswatini (Kingdom of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","16","","..","","..",""
"12","Finland","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","..",""
"26","France","..","","..","","..","","..","","..","","89","","..","","..","","..","","..","","..","","..","","..","","..","","..","","97","","98","","..","","..",""
"70","Georgia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","100","","100","","..",""
"142","Ghana","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","8",""
"78","Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","100","","..",""
"126","Guatemala","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","9","","..","","..",""
"132","Honduras","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","16","","..","","..",""
"4","Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","99","","99","","..",""
"43","Hungary","..","","..","","75","","82","","89","","97","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","..","","..",""
"65","Iran (Islamic Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","11","","..","","..","","..","","..","","..","","..",""
"22","Israel","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","85","","85","","85","","..","","..",""
