"Survival rate to the last grade of lower secondary general education (%)"
"174","Gambia","..","","..","","87","","96","","92","","97","","97","","96","","..","","..","","..","","..",""
"70","Georgia","..","","88","","91","","98","","..","","96","","100","","99","","99","","99","","98","","..",""
"4","Germany","..","","75","","..","","..","","..","","..","","..","","53","","54","","54","","..","","..",""
"142","Ghana","..","","..","","74","","..","","..","","77","","83","","76","","90","","..","","79","","88",""
"32","Greece","86","","..","","..","","92","","86","","94","","92","","91","","99","","97","","..","","..",""
"78","Grenada","..","","..","","..","","..","","..","","..","","..","","94","","90","","..","","86","","..",""
"126","Guatemala","..","","..","","70","","71","","74","","77","","76","","78","","95","","81","","80","","..",""
"174","Guinea","82","","..","","76","","77","","79","","..","","87","","76","","..","","..","","..","","..",""
"123","Guyana","..","","..","","85","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"169","Haiti","72","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"132","Honduras","..","","..","","..","","..","","..","","..","","54","","90","","..","","85","","..","","..",""
"4","Hong Kong, China (SAR)","..","","79","","..","","99","","99","","98","","99","","99","","99","","98","","99","","..",""
"43","Hungary","96","","..","","..","","..","","..","","..","","..","","95","","96","","96","","..","","..",""
"6","Iceland","..","","..","","99","","100","","99","","99","","..","","..","","..","","..","","..","","..",""
"129","India","..","","..","","..","","..","","97","","..","","..","","99","","96","","97","","94","","..",""
"111","Indonesia","..","","..","","..","","97","","95","","95","","85","","..","","..","","97","","94","","..",""
"65","Iran (Islamic Republic of)","79","","..","","87","","..","","95","","96","","..","","..","","..","","..","","94","","..",""
"3","Ireland","..","","97","","98","","99","","99","","..","","..","","..","","99","","99","","..","","..",""
"22","Israel","..","","..","","..","","91","","96","","96","","97","","97","","97","","98","","98","","..",""
"29","Italy","94","","97","","..","","99","","99","","99","","98","","99","","99","","99","","..","","..",""
"96","Jamaica","96","","..","","97","","..","","..","","..","","..","","..","","97","","..","","96","","..",""
"19","Japan","100","","..","","..","","..","","..","","..","","..","","100","","100","","100","","..","","..",""
"102","Jordan","..","","..","","..","","..","","91","","93","","95","","96","","..","","..","","90","","..",""
"50","Kazakhstan","..","","..","","..","","99","","100","","99","","99","","99","","98","","98","","99","","99",""
"147","Kenya","..","","..","","..","","..","","..","","..","","..","","..","","81","","81","","..","","..",""
"132","Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","94","","..","","..",""
"22","Korea (Republic of)","..","","..","","99","","99","","..","","..","","..","","99","","99","","99","","..","","..",""
"57","Kuwait","..","","94","","89","","86","","..","","91","","93","","..","","..","","97","","91","","..",""
"122","Kyrgyzstan","..","","..","","..","","93","","92","","95","","95","","97","","95","","97","","96","","..",""
"140","Lao People's Democratic Republic","..","","..","","73","","76","","69","","70","","75","","82","","79","","77","","75","","..",""
"39","Latvia","..","","89","","..","","..","","..","","..","","..","","97","","96","","97","","98","","..",""
"93","Lebanon","..","","..","","..","","86","","82","","83","","84","","71","","81","","88","","85","","..",""
"164","Lesotho","..","","..","","64","","62","","..","","64","","65","","67","","..","","67","","68","","..",""
"18","Liechtenstein","..","","..","","..","","69","","..","","..","","..","","..","","78","","85","","..","","..",""
"34","Lithuania","..","","95","","93","","..","","..","","96","","97","","96","","97","","97","","..","","..",""
"21","Luxembourg","..","","..","","..","","..","","99","","..","","99","","98","","99","","98","","..","","..",""
"162","Madagascar","57","","77","","70","","80","","76","","68","","65","","68","","70","","68","","65","","..",""
"172","Malawi","..","","94","","..","","37","","33","","31","","..","","..","","..","","..","","..","","..",""
"61","Malaysia","..","","..","","85","","94","","91","","91","","91","","90","","89","","93","","94","","..",""
"104","Maldives","..","","..","","..","","79","","..","","..","","76","","95","","91","","88","","96","","..",""
"184","Mali","..","","..","","..","","..","","92","","..","","63","","77","","65","","66","","67","","..",""
"28","Malta","62","","62","","90","","95","","81","","..","","96","","99","","97","","99","","..","","..",""
"161","Mauritania","..","","..","","75","","75","","..","","74","","..","","..","","79","","71","","73","","..",""
"66","Mauritius","91","","93","","97","","97","","99","","99","","96","","98","","99","","97","","99","","..",""
"76","Mexico","79","","..","","..","","86","","89","","89","","89","","90","","90","","90","","92","","..",""
"107","Moldova (Republic of)","..","","84","","87","","93","","93","","93","","92","","93","","93","","93","","93","","..",""
"..","Monaco","..","","..","","..","","..","","..","","..","","..","","..","","..","","97","","..","","..",""
"92","Mongolia","..","","84","","93","","93","","..","","..","","..","","..","","..","","..","","..","","..",""
"52","Montenegro","..","","..","","..","","..","","..","","79","","..","","..","","..","","95","","99","","..",""
"121","Morocco","..","","..","","77","","81","","86","","87","","88","","86","","82","","84","","84","","..",""
"180","Mozambique","..","","..","","..","","69","","68","","66","","69","","70","","75","","..","","..","","..",""
