"Literacy rate, adult (% ages 15 and older)"
"78","Grenada","..","","..","","..","","..","","..","","..","","..","","..","","98.6","","..","","..","","..","","..",""
"126","Guatemala","..","","..","","..","","..","","..","","..","","78.3","","77.0","","81.3","","..","","..","","..","","..",""
"174","Guinea","..","","..","","..","","..","","25.3","","..","","..","","..","","32.0","","..","","..","","..","","..",""
"178","Guinea-Bissau","..","","..","","41.4","","..","","..","","..","","..","","..","","45.6","","..","","..","","..","","..",""
"123","Guyana","..","","..","","..","","..","","..","","..","","..","","..","","85.6","","..","","..","","..","","..",""
"132","Honduras","..","","..","","..","","..","","84.8","","85.1","","85.4","","85.5","","87.2","","87.9","","89.0","","..","","..",""
"43","Hungary","..","","..","","..","","..","","..","","..","","..","","..","","99.1","","..","","..","","..","","..",""
"129","India","..","","..","","..","","..","","..","","69.3","","..","","..","","..","","..","","..","","..","","..",""
"111","Indonesia","81.5","","..","","..","","..","","..","","92.8","","..","","..","","95.1","","95.2","","95.4","","..","","..",""
"65","Iran (Islamic Republic of)","..","","..","","..","","82.4","","..","","..","","83.6","","84.6","","84.7","","..","","85.5","","..","","..",""
"120","Iraq","..","","..","","74.1","","..","","..","","..","","..","","43.7","","..","","..","","..","","..","","..",""
"29","Italy","..","","..","","..","","..","","..","","98.8","","..","","..","","..","","..","","..","","..","","..",""
"96","Jamaica","..","","..","","..","","..","","..","","..","","..","","..","","88.1","","..","","..","","..","","..",""
"102","Jordan","..","","..","","..","","91.1","","92.6","","95.9","","97.9","","..","","..","","..","","..","","..","","..",""
"50","Kazakhstan","..","","..","","..","","..","","99.8","","..","","..","","..","","..","","..","","..","","..","","..",""
"147","Kenya","..","","..","","82.2","","..","","..","","..","","..","","..","","78.7","","..","","..","","..","","..",""
"57","Kuwait","..","","78.4","","..","","93.3","","94.5","","..","","95.5","","95.6","","..","","95.7","","..","","96.0","","96.1",""
"140","Lao People's Democratic Republic","..","","60.3","","69.6","","72.7","","..","","58.3","","..","","..","","..","","84.7","","..","","..","","..",""
"39","Latvia","..","","..","","99.7","","..","","..","","99.9","","..","","..","","..","","..","","..","","..","","..",""
"164","Lesotho","..","","..","","86.3","","..","","..","","..","","..","","..","","76.6","","..","","..","","..","","..",""
"34","Lithuania","..","","..","","..","","..","","..","","99.8","","..","","..","","..","","..","","..","","..","","..",""
"162","Madagascar","..","","..","","70.7","","..","","..","","..","","71.6","","..","","..","","..","","..","","..","","..",""
"172","Malawi","..","","..","","..","","..","","61.3","","..","","..","","..","","65.1","","62.1","","..","","..","","..",""
"61","Malaysia","..","","..","","88.7","","..","","93.1","","..","","..","","..","","..","","..","","93.7","","..","","..",""
"104","Maldives","96.0","","96.3","","..","","..","","..","","..","","..","","..","","98.6","","..","","..","","..","","..",""
"184","Mali","..","","..","","..","","..","","31.1","","33.6","","..","","..","","..","","33.1","","..","","..","","..",""
"28","Malta","..","","87.9","","..","","92.4","","..","","93.3","","..","","..","","..","","..","","..","","..","","..",""
"117","Marshall Islands","..","","..","","..","","..","","..","","98.3","","..","","..","","..","","..","","..","","..","","..",""
"161","Mauritania","..","","..","","51.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"66","Mauritius","79.9","","..","","84.3","","..","","..","","89.3","","91.8","","91.5","","92.5","","92.7","","93.2","","..","","..",""
"76","Mexico","87.6","","..","","90.5","","91.6","","93.1","","93.5","","94.2","","94.0","","94.6","","94.5","","94.9","","..","","..",""
"107","Moldova (Republic of)","..","","..","","96.7","","..","","..","","..","","99.1","","..","","..","","..","","..","","..","","..",""
"92","Mongolia","..","","..","","97.8","","..","","98.3","","..","","..","","..","","..","","..","","..","","..","","..",""
"52","Montenegro","..","","..","","..","","..","","..","","98.4","","..","","..","","..","","..","","..","","..","","..",""
"121","Morocco","..","","..","","..","","..","","..","","67.1","","69.4","","..","","..","","..","","..","","..","","..",""
"180","Mozambique","..","","..","","..","","..","","..","","..","","..","","..","","..","","56.0","","..","","..","","..",""
"145","Myanmar","..","","..","","89.9","","..","","..","","..","","..","","..","","..","","..","","75.6","","..","","..",""
"130","Namibia","..","","..","","..","","..","","..","","88.3","","..","","..","","..","","..","","..","","..","","..",""
"147","Nepal","..","","..","","..","","..","","..","","59.6","","..","","..","","..","","..","","..","","..","","..",""
"126","Nicaragua","..","","..","","..","","78.0","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"189","Niger","..","","..","","..","","28.7","","..","","..","","30.6","","..","","..","","..","","..","","..","","..",""
"82","North Macedonia","..","","..","","..","","..","","..","","..","","..","","..","","97.8","","..","","..","","..","","..",""
"47","Oman","..","","..","","..","","..","","86.9","","..","","..","","..","","92.0","","93.0","","94.9","","96.1","","..",""
"152","Pakistan","..","","..","","..","","49.9","","55.4","","54.7","","56.8","","55.6","","57.0","","..","","..","","..","","..",""
"55","Palau","..","","..","","..","","..","","..","","..","","..","","99.5","","..","","96.6","","..","","..","","..",""
"119","Palestine, State of","..","","..","","..","","..","","94.9","","95.3","","95.9","","96.3","","96.4","","96.7","","96.9","","..","","..",""
"67","Panama","88.8","","..","","91.9","","..","","94.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"155","Papua New Guinea","..","","..","","57.3","","..","","61.6","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Paraguay","..","","..","","..","","..","","93.9","","..","","94.2","","95.1","","94.6","","95.6","","94.7","","..","","..",""
"82","Peru","..","","..","","..","","87.9","","..","","..","","93.8","","..","","93.7","","94.2","","94.2","","94.2","","..",""
"106","Philippines","93.6","","..","","92.6","","..","","..","","..","","..","","96.4","","..","","..","","..","","..","","..",""
"40","Portugal","..","","..","","..","","..","","..","","94.5","","..","","..","","..","","..","","..","","..","","..",""
"41","Qatar","..","","..","","..","","..","","..","","..","","..","","90.6","","91.3","","..","","93.1","","..","","..",""
"52","Romania","..","","..","","..","","..","","..","","98.6","","..","","..","","..","","..","","..","","..","","..",""
"49","Russian Federation","..","","..","","..","","..","","99.7","","..","","..","","..","","..","","..","","..","","..","","..",""
"157","Rwanda","..","","..","","64.9","","..","","65.9","","..","","68.3","","..","","70.8","","..","","..","","..","","..",""
"111","Samoa","..","","..","","..","","..","","..","","99.0","","..","","..","","..","","..","","..","","..","","..",""
"137","Sao Tome and Principe","..","","..","","..","","..","","..","","..","","90.1","","..","","..","","..","","..","","..","","..",""
"36","Saudi Arabia","..","","..","","79.4","","..","","..","","..","","..","","94.4","","..","","..","","..","","..","","..",""
"166","Senegal","..","","..","","..","","..","","..","","52.1","","..","","42.8","","..","","..","","..","","51.9","","..",""
"63","Serbia","..","","..","","..","","..","","..","","98.0","","..","","..","","..","","..","","98.8","","..","","..",""
