"Pupil-teacher ratio, primary school (number of pupils per teacher)"
"182","Eritrea","38","","40","","48","","48","","38","","40","","41","","46","","42","","43","","..","","39","","..",""
"30","Estonia","..","","..","","14","","..","","12","","12","","12","","12","","..","","..","","11","","..","","..",""
"138","Eswatini (Kingdom of)","33","","34","","31","","33","","32","","30","","29","","28","","28","","28","","27","","..","","..",""
"173","Ethiopia","41","","33","","67","","..","","54","","55","","..","","..","","..","","..","","..","","..","","..",""
"98","Fiji","..","","24","","28","","..","","..","","31","","28","","..","","..","","..","","20","","..","","..",""
"12","Finland","..","","..","","17","","16","","14","","14","","14","","13","","13","","..","","13","","..","","..",""
"26","France","..","","19","","19","","19","","18","","18","","18","","18","","..","","..","","..","","..","","..",""
"115","Gabon","..","","52","","..","","..","","..","","25","","..","","..","","..","","..","","..","","..","","..",""
"174","Gambia","31","","34","","37","","37","","37","","38","","34","","36","","45","","37","","..","","39","","36",""
"70","Georgia","..","","16","","17","","..","","..","","..","","..","","9","","9","","9","","9","","9","","..",""
"4","Germany","..","","17","","15","","14","","13","","12","","12","","12","","12","","12","","12","","..","","..",""
"142","Ghana","27","","30","","34","","33","","..","","31","","33","","32","","30","","31","","31","","27","","27",""
"32","Greece","20","","16","","13","","11","","..","","..","","9","","9","","9","","10","","9","","..","","..",""
"78","Grenada","25","","26","","20","","18","","16","","..","","..","","15","","14","","17","","15","","16","","..",""
"126","Guatemala","..","","34","","33","","31","","27","","26","","26","","24","","23","","20","","22","","20","","..",""
"174","Guinea","38","","47","","46","","45","","42","","44","","44","","44","","46","","..","","47","","..","","..",""
"178","Guinea-Bissau","..","","..","","44","","..","","52","","..","","..","","..","","..","","..","","..","","..","","..",""
"123","Guyana","..","","29","","26","","28","","25","","25","","23","","..","","..","","..","","..","","..","","..",""
"169","Haiti","..","","33","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"132","Honduras","35","","35","","34","","29","","..","","..","","..","","..","","..","","29","","28","","26","","..",""
"4","Hong Kong, China (SAR)","..","","..","","22","","18","","15","","15","","14","","14","","14","","14","","14","","14","","..",""
"43","Hungary","..","","11","","11","","10","","11","","11","","10","","10","","11","","11","","11","","..","","..",""
"6","Iceland","..","","..","","..","","..","","..","","10","","10","","10","","10","","10","","..","","..","","..",""
"129","India","..","","..","","40","","..","","..","","35","","..","","32","","31","","31","","35","","..","","..",""
"111","Indonesia","23","","23","","22","","20","","19","","19","","19","","16","","17","","..","","14","","16","","..",""
"65","Iran (Islamic Republic of)","..","","32","","26","","22","","..","","..","","..","","26","","26","","27","","27","","29","","..",""
"120","Iraq","..","","..","","21","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"3","Ireland","27","","23","","..","","18","","16","","16","","16","","..","","..","","..","","..","","..","","..",""
"22","Israel","14","","..","","14","","13","","13","","13","","..","","12","","12","","12","","12","","..","","..",""
"29","Italy","12","","11","","11","","10","","..","","..","","..","","12","","12","","12","","11","","..","","..",""
"96","Jamaica","34","","..","","..","","..","","..","","23","","23","","22","","22","","22","","23","","22","","..",""
"19","Japan","21","","19","","..","","..","","..","","..","","..","","17","","16","","16","","16","","..","","..",""
"102","Jordan","..","","24","","..","","..","","..","","..","","..","","..","","17","","..","","18","","21","","..",""
"50","Kazakhstan","21","","20","","..","","17","","16","","16","","16","","16","","17","","16","","19","","21","","20",""
"147","Kenya","..","","..","","34","","42","","..","","..","","57","","..","","31","","31","","..","","..","","..",""
"132","Kiribati","29","","27","","32","","25","","..","","..","","..","","..","","26","","..","","26","","25","","..",""
"..","Korea (Democratic People's Rep. of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","21","","..","","..","","20",""
