"Population with at least some secondary education, male (% ages 25 and older)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","13.6","","15.7","","17.0","","22.3","","29.8","","31.2","","32.6","","34.0","","35.4","","35.4","","36.8","","36.9","","36.9"," a,b"
"69","Albania","69.7","","69.9","","78.8","","83.1","","86.9","","87.9","","89.4","","90.5","","91.5","","92.5","","92.6","","92.8","","92.8"," a"
"82","Algeria","21.9","","26.7","","29.6","","27.7","","31.0","","32.2","","33.4","","34.6","","35.7","","35.7","","36.9","","37.9","","38.9"," a,b"
"36","Andorra","..","","..","","36.9","","43.6","","61.5","","64.5","","67.6","","70.6","","73.7","","73.7","","73.3","","73.3","","73.3"," a"
"149","Angola","..","","..","","..","","..","","..","","..","","..","","..","","36.5","","37.0","","37.9","","38.1","","38.1"," a"
"48","Argentina","38.5","","42.3","","45.4","","56.7","","57.6","","58.5","","59.5","","60.4","","61.4","","61.4","","62.3","","62.8","","63.3"," a,b"
"81","Armenia","88.5","","90.1","","91.9","","94.3","","96.7","","97.2","","97.5","","97.8","","98.1","","98.1","","97.6","","97.6","","97.6"," a"
"6","Australia","90.7","","90.3","","89.8","","91.5","","93.0","","93.5","","94.6","","91.1","","91.5","","91.5","","89.9","","89.9","","90.7"," a"
"20","Austria","73.6","","76.1","","88.1","","100.0","","100.0","","100.0","","100.0","","100.0","","99.2","","99.2","","100.0","","100.0","","100.0"," a"
"87","Azerbaijan","..","","..","","96.0","","95.8","","97.5","","97.4","","97.5","","97.5","","97.5","","97.5","","97.5","","97.5","","97.5"," a"
"60","Bahamas","..","","..","","87.6","","87.6","","87.6","","87.6","","87.6","","87.6","","87.6","","87.6","","87.6","","87.6","","91.0"," a"
"45","Bahrain","49.4","","56.6","","60.6","","57.1","","51.4","","52.4","","53.5","","54.5","","55.6","","55.6","","57.1","","57.1","","57.5"," a,b"
"135","Bangladesh","27.4","","29.1","","31.7","","34.8","","40.1","","41.3","","42.5","","43.6","","44.8","","45.9","","47.1","","48.2","","49.2"," a,b"
"56","Barbados","68.2","","72.7","","77.3","","85.5","","87.7","","88.4","","89.1","","89.9","","90.6","","90.6","","91.3","","91.6","","91.9"," a,b"
"50","Belarus","..","","..","","..","","..","","92.2","","92.2","","92.2","","92.2","","92.2","","92.2","","92.2","","92.2","","92.5"," a"
"17","Belgium","67.9","","73.8","","76.8","","79.3","","82.4","","82.9","","83.1","","83.9","","84.7","","84.7","","86.7","","86.7","","87.1"," a"
"103","Belize","22.2","","35.0","","48.9","","62.3","","75.8","","76.2","","76.6","","77.0","","77.4","","77.7","","78.1","","78.4","","78.4"," a"
"163","Benin","14.8","","18.8","","20.5","","23.5","","27.4","","28.2","","28.9","","29.9","","30.8","","30.8","","31.8","","32.7","","33.6"," a,b"
"134","Bhutan","..","","..","","..","","..","","13.4","","13.4","","13.4","","13.4","","13.4","","15.5","","16.8","","17.5","","17.5"," a"
"114","Bolivia (Plurinational State of)","52.7","","54.5","","52.6","","48.3","","53.4","","54.3","","55.2","","57.0","","58.7","","58.7","","58.8","","59.5","","65.1"," a"
"75","Bosnia and Herzegovina","..","","..","","..","","..","","70.0","","69.8","","75.7","","81.6","","87.5","","87.5","","88.7","","88.7","","90.0"," a"
"94","Botswana","46.1","","53.4","","61.5","","70.0","","77.8","","80.1","","82.3","","84.5","","86.7","","86.7","","88.9","","89.6","","90.3"," a,b"
"79","Brazil","19.9","","25.7","","34.5","","42.7","","49.0","","52.4","","53.3","","54.2","","54.7","","56.1","","56.9","","57.7","","57.7"," a"
"43","Brunei Darussalam","57.9","","62.8","","64.6","","65.6","","67.8","","68.2","","68.7","","69.1","","69.6","","69.6","","70.0","","70.3","","70.6"," a,b"
"52","Bulgaria","78.2","","83.0","","89.5","","93.1","","94.9","","95.2","","95.7","","95.8","","95.5","","95.5","","96.1","","96.1","","96.2"," a"
"182","Burkina Faso","..","","..","","..","","11.2","","11.4","","11.4","","11.5","","11.5","","11.5","","11.5","","11.7","","11.7","","12.1"," a,c"
"185","Burundi","4.6","","5.4","","6.4","","7.7","","8.3","","8.6","","9.0","","9.3","","9.6","","9.6","","9.9","","10.5","","11.0"," a,b"
"126","Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","..","","30.6","","30.9","","31.2","","31.2"," a"
"146","Cambodia","13.3","","14.8","","16.2","","20.5","","22.9","","23.7","","24.5","","25.3","","26.1","","26.1","","26.9","","28.1","","28.1"," a,b"
"150","Cameroon","19.7","","23.8","","27.9","","32.0","","34.9","","35.6","","36.4","","37.2","","37.9","","37.9","","38.7","","39.2","","40.9"," a"
"13","Canada","83.5","","86.4","","97.0","","99.8","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0"," a,d"
"188","Central African Republic","14.9","","19.0","","22.2","","24.8","","26.7","","27.5","","28.3","","29.0","","29.8","","29.8","","30.6","","30.8","","31.1"," a,b"
"187","Chad","..","","..","","..","","..","","..","","..","","..","","..","","..","","9.9","","10.0","","10.0","","10.3"," a,c"
"42","Chile","51.0","","57.1","","67.9","","72.5","","76.4","","74.8","","75.8","","77.4","","79.0","","80.6","","80.9","","80.9","","80.9"," a"
"85","China","43.9","","52.3","","60.8","","66.3","","71.9","","73.7","","75.6","","77.5","","79.4","","79.4","","80.1","","82.0","","83.0"," a,b"
"79","Colombia","35.1","","39.7","","38.6","","40.5","","43.5","","44.6","","45.6","","47.1","","48.4","","49.2","","49.2","","49.2","","50.9"," a"
"138","Congo","39.5","","45.2","","46.8","","47.6","","47.0","","47.7","","48.5","","49.2","","50.0","","50.0","","50.7","","51.0","","51.3"," a,b"
"179","Congo (Democratic Republic of the)","18.7","","27.5","","30.9","","31.6","","32.4","","33.1","","33.7","","34.3","","61.3","","63.6","","65.8","","65.8","","65.8"," a"
"68","Costa Rica","33.7","","38.1","","41.9","","45.9","","48.6","","49.9","","50.5","","52.1","","53.8","","53.8","","51.9","","51.9","","52.3"," a"
"46","Croatia","57.0","","69.3","","82.6","","88.6","","92.8","","93.6","","94.4","","95.2","","96.0","","96.9","","96.9","","96.9","","96.9"," a"
"72","Cuba","59.8","","67.6","","70.6","","75.2","","80.9","","82.1","","83.2","","85.0","","86.7","","88.5","","88.9","","88.9","","88.9"," a,b"
"31","Cyprus","57.5","","64.1","","68.1","","72.8","","79.6","","78.4","","81.7","","82.7","","81.1","","80.7","","80.7","","80.7","","82.6"," a"
"26","Czechia","57.2","","82.7","","99.3","","99.7","","99.9","","99.8","","99.7","","99.8","","99.8","","99.8","","99.8","","99.8","","99.8"," a"
"165","Côte d'Ivoire","18.5","","21.1","","24.0","","27.4","","30.1","","30.8","","31.4","","32.1","","32.7","","32.7","","33.4","","34.1","","34.1"," a,b"
"11","Denmark","72.0","","81.2","","93.0","","100.0","","96.7","","97.3","","96.6","","98.5","","89.9","","91.3","","91.3","","91.3","","89.4"," a"
"89","Dominican Republic","25.3","","25.8","","24.8","","36.9","","51.9","","52.9","","53.1","","53.9","","55.5","","55.5","","54.4","","54.4","","54.4"," a"
"85","Ecuador","37.6","","39.4","","39.0","","37.6","","39.4","","42.4","","45.3","","48.3","","49.4","","49.4","","52.2","","52.2","","51.9"," a"
"116","Egypt","33.8","","39.1","","46.2","","53.0","","60.6","","62.5","","64.4","","66.3","","68.2","","68.2","","70.1","","70.7","","71.2"," a,b"
"124","El Salvador","17.7","","23.1","","31.8","","36.2","","44.7","","41.8","","43.6","","44.8","","46.1","","47.3","","47.9","","47.9","","46.3"," a"
"30","Estonia","58.9","","75.3","","89.0","","96.9","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0"," a,d"
"138","Eswatini (Kingdom of)","20.7","","23.5","","23.9","","20.3","","26.0","","27.1","","28.2","","29.4","","30.5","","30.5","","31.6","","32.7","","33.9"," a,b"
"173","Ethiopia","..","","..","","..","","6.3","","16.1","","18.2","","20.7","","20.7","","20.7","","20.7","","21.4","","21.4","","22.0"," a,c"
"98","Fiji","33.7","","47.8","","50.9","","56.1","","61.1","","62.9","","64.7","","66.5","","66.5","","66.5","","68.3","","68.3","","70.2"," a,b"
"12","Finland","81.5","","89.4","","96.4","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0"," a"
"26","France","53.0","","63.6","","71.5","","78.4","","82.3","","82.7","","83.2","","84.5","","85.5","","85.6","","85.6","","85.6","","86.3"," a"
"115","Gabon","17.1","","23.5","","29.5","","32.5","","36.1","","38.6","","41.0","","43.5","","45.9","","45.9","","48.4","","49.8","","49.8"," a,b"
"174","Gambia","14.3","","18.7","","22.8","","27.2","","31.5","","33.4","","35.3","","37.2","","39.1","","39.1","","41.0","","42.3","","43.6"," a,c"
"70","Georgia","88.0","","89.9","","91.9","","93.9","","95.9","","96.3","","96.7","","96.3","","96.0","","96.0","","96.0","","96.0","","98.6"," a"
"4","Germany","53.7","","68.1","","81.9","","97.3","","96.8","","97.0","","97.0","","96.9","","97.0","","96.8","","96.8","","96.8","","96.6"," a"
"142","Ghana","55.8","","60.0","","58.8","","60.9","","64.7","","65.2","","66.3","","67.4","","68.5","","68.5","","69.6","","70.4","","71.1"," a,b"
"32","Greece","46.2","","52.1","","57.6","","63.0","","67.0","","68.2","","69.3","","70.5","","71.7","","71.7","","73.2","","73.2","","73.2"," a"
"126","Guatemala","13.6","","16.1","","18.1","","17.8","","24.2","","25.9","","27.6","","28.7","","36.2","","36.2","","37.2","","37.2","","37.2"," a"
"123","Guyana","30.6","","34.1","","39.0","","42.6","","47.8","","49.1","","50.5","","51.9","","53.2","","53.2","","54.6","","55.5","","55.5"," a,b"
"169","Haiti","16.8","","21.9","","26.9","","31.4","","35.2","","36.1","","36.9","","37.8","","38.7","","38.7","","39.6","","39.9","","39.9"," a,b"
"132","Honduras","12.7","","14.7","","16.1","","18.2","","24.7","","26.7","","25.8","","28.5","","31.1","","32.3","","33.5","","33.5","","32.6"," a"
"4","Hong Kong, China (SAR)","60.1","","65.9","","70.5","","74.7","","77.8","","79.2","","79.8","","80.3","","80.9","","81.8","","81.8","","81.8","","82.9"," a"
"43","Hungary","47.9","","74.8","","88.7","","94.1","","98.5","","98.7","","98.7","","98.8","","97.9","","98.0","","98.0","","98.0","","98.2"," a"
"6","Iceland","66.0","","73.4","","82.6","","91.6","","97.2","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0"," a,d"
"129","India","33.3","","40.4","","48.6","","52.4","","56.6","","57.8","","59.0","","60.2","","61.4","","61.4","","62.6","","63.5","","63.5"," a,b"
