"Primary school teachers trained to teach (%)"
"57","Kuwait","100","","100","","100","","..","","78","","78","","77","","79","","79","","..","","..","","..",""
"122","Kyrgyzstan","..","","58","","66","","68","","70","","72","","92","","93","","93","","95","","95","","..",""
"140","Lao People's Democratic Republic","77","","83","","92","","95","","94","","97","","98","","98","","98","","97","","97","","..",""
"164","Lesotho","74","","64","","58","","63","","66","","68","","72","","76","","79","","87","","..","","..",""
"176","Liberia","..","","..","","48","","..","","56","","..","","..","","56","","47","","..","","..","","..",""
"162","Madagascar","..","","..","","..","","..","","..","","21","","19","","17","","15","","15","","15","","..",""
"172","Malawi","..","","..","","..","","96","","88","","92","","91","","..","","..","","..","","..","","..",""
"61","Malaysia","98","","92","","95","","95","","96","","96","","97","","99","","100","","100","","99","","..",""
"104","Maldives","66","","64","","74","","77","","81","","77","","90","","86","","83","","86","","90","","..",""
"184","Mali","..","","..","","50","","..","","52","","..","","..","","..","","..","","..","","..","","..",""
"161","Mauritania","..","","100","","100","","100","","100","","100","","..","","91","","..","","85","","..","","..",""
"66","Mauritius","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","..",""
"76","Mexico","..","","95","","96","","96","","96","","96","","96","","97","","96","","97","","..","","..",""
"107","Moldova (Republic of)","..","","..","","..","","..","","..","","..","","..","","94","","100","","99","","99","","..",""
"92","Mongolia","100","","100","","100","","98","","99","","99","","100","","100","","..","","100","","..","","..",""
"121","Morocco","..","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","..",""
"180","Mozambique","..","","60","","71","","76","","80","","84","","87","","90","","93","","95","","97","","..",""
"145","Myanmar","63","","76","","99","","100","","..","","..","","..","","100","","..","","98","","..","","..",""
"130","Namibia","85","","92","","96","","96","","..","","..","","..","","..","","..","","..","","..","","..",""
"..","Nauru","..","","..","","..","","..","","..","","..","","..","","..","","..","","100","","..","","..",""
"147","Nepal","..","","31","","..","","74","","81","","93","","92","","94","","94","","97","","97","","..",""
"126","Nicaragua","73","","77","","..","","75","","..","","..","","..","","..","","..","","..","","..","","..",""
"189","Niger","97","","85","","98","","97","","96","","97","","46","","50","","56","","56","","66","","..",""
"158","Nigeria","..","","50","","..","","66","","..","","..","","..","","..","","..","","..","","..","","..",""
"47","Oman","100","","..","","..","","..","","..","","..","","..","","..","","..","","..","","100","","..",""
"152","Pakistan","..","","86","","85","","84","","83","","84","","85","","84","","82","","..","","..","","..",""
"119","Palestine, State of","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","..",""
"67","Panama","75","","90","","92","","92","","92","","90","","..","","..","","99","","99","","..","","..",""
"98","Paraguay","..","","..","","..","","..","","..","","92","","..","","..","","..","","..","","..","","..",""
"82","Peru","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","97","","95",""
"106","Philippines","..","","..","","..","","..","","..","","..","","..","","100","","100","","100","","..","","..",""
"41","Qatar","..","","..","","49","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"157","Rwanda","53","","94","","94","","91","","98","","96","","95","","96","","94","","..","","93","","..",""
"73","Saint Kitts and Nevis","61","","58","","62","","62","","64","","65","","65","","68","","72","","72","","..","","..",""
"89","Saint Lucia","..","","80","","88","","87","","87","","88","","89","","79","","..","","..","","89","","..",""
"94","Saint Vincent and the Grenadines","..","","..","","80","","84","","..","","85","","83","","76","","84","","..","","..","","..",""
"137","Sao Tome and Principe","..","","..","","48","","..","","..","","..","","..","","33","","34","","31","","27","","..",""
"36","Saudi Arabia","..","","..","","..","","..","","..","","..","","100","","100","","100","","100","","..","","..",""
"166","Senegal","..","","46","","43","","48","","63","","65","","72","","70","","68","","70","","75","","..",""
"63","Serbia","..","","..","","94","","..","","70","","56","","..","","..","","..","","..","","..","","..",""
"62","Seychelles","81","","..","","99","","..","","87","","76","","69","","71","","84","","83","","84","","..",""
"181","Sierra Leone","..","","..","","..","","..","","48","","55","","57","","..","","54","","..","","..","","..",""
"9","Singapore","..","","..","","99","","..","","..","","..","","..","","..","","..","","99","","..","","..",""
"153","Solomon Islands","..","","..","","..","","58","","54","","54","","63","","65","","59","","66","","74","","..",""
"113","South Africa","68","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"186","South Sudan","..","","..","","..","","..","","44","","..","","..","","..","","..","","..","","..","","..",""
"71","Sri Lanka","..","","..","","..","","82","","82","","..","","80","","..","","86","","85","","85","","..",""
"98","Suriname","..","","..","","100","","96","","96","","98","","97","","97","","98","","98","","98","","..",""
"154","Syrian Arab Republic","89","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"125","Tajikistan","..","","..","","90","","93","","94","","94","","94","","100","","100","","100","","100","","..",""
"159","Tanzania (United Republic of)","..","","100","","100","","94","","..","","..","","99","","..","","..","","99","","..","","..",""
"77","Thailand","..","","..","","..","","..","","..","","..","","..","","100","","100","","100","","100","","..",""
"167","Togo","..","","..","","..","","77","","71","","82","","76","","..","","73","","..","","..","","..",""
"105","Tonga","..","","..","","..","","..","","..","","..","","100","","97","","92","","..","","..","","..",""
"63","Trinidad and Tobago","76","","..","","88","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"91","Tunisia","..","","..","","..","","..","","..","","100","","100","","100","","100","","100","","..","","..",""
"..","Tuvalu","..","","..","","..","","..","","..","","..","","..","","..","","..","","77","","..","","..",""
"159","Uganda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","80","","..",""
"88","Ukraine","99","","100","","100","","100","","100","","100","","..","","..","","..","","86","","87","","..",""
"35","United Arab Emirates","..","","60","","..","","..","","..","","100","","100","","100","","100","","100","","..","","..",""
"57","Uruguay","..","","..","","..","","..","","..","","..","","100","","100","","100","","100","","..","","..",""
"108","Uzbekistan","..","","..","","100","","100","","100","","..","","..","","..","","..","","..","","99","","..",""
