"54","Germany",1.5,1.7,1.2,1.1,1,0.9,0.8,0.8,0.9,0.8,1.2,1
"55","Ghana",NA,NA,NA,1.8,1.7,1.7,2.2,2.1,2,1.9,1.9,2.1
"56","Greece",1,1.4,NA,1.2,1.5,1.6,1.5,1.4,0.9,0.8,0.8,0.7
"57","Grenada",NA,NA,14.8,10.7,9.6,3.8,13.3,5.7,7.5,5.6,10.2,11.1
"58","Guatemala",NA,31.3,24.9,40.8,40.7,38,33.8,33.7,31.4,29.4,27.3,26.1
"59","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,4.8,3.8,2.7,3.5,1.1
"60","Guyana",12.1,14.3,10.1,18.9,18.8,17.4,18.5,20.4,19.5,19.4,18.4,14.8
"61","Haiti",NA,NA,NA,NA,6.8,9,10,10,9.3,10,9.5,NA
"62","Honduras",10,26.9,48.7,43.6,76.1,85.1,84.3,74.3,66.9,57.5,56.5,41.7
"63","Hong Kong, China (SAR)",2.4,1.2,0.6,0.5,0.5,0.2,0.4,0.9,0.4,0.3,0.4,0.3
"64","Hungary",1.9,2.9,2,1.6,1.4,1.5,1.3,1.6,1.5,2.3,2.1,2.5
"65","Iceland",NA,0,1.8,1,0.6,0.9,0.3,0.3,0.6,0.9,0.3,0.9
"66","India",5.1,4.8,4.6,3.9,3.8,3.8,3.8,3.6,3.7,3.4,3.2,NA
"67","Indonesia",NA,NA,1,NA,0.4,0.6,0.6,0.5,0.5,0.6,0.5,0.4
"68","Iran (Islamic Republic of)",NA,NA,NA,NA,NA,NA,NA,2.6,2.5,NA,NA,NA
"69","Iraq",6.7,NA,NA,NA,8.7,8.3,8.2,9.9,NA,NA,NA,NA
"70","Ireland",0.5,1.2,1,1.2,1.2,0.9,1.1,1.1,1.1,0.7,0.8,0.9
"71","Israel",3.3,2.1,2.4,2.5,2,2,1.7,NA,1.5,1.4,NA,NA
"72","Italy",3.1,1.8,1.3,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,NA
"73","Jamaica",22.4,30.7,33.4,61,51.4,40,38.7,42.1,35.1,42.1,47,57
"74","Japan",0.5,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2
"75","Jordan",3.4,0.8,NA,1.2,1.6,1.9,2,1.7,1.9,1.6,1.4,1.4
"76","Kazakhstan",8.9,15.3,15.4,NA,8.5,8.5,7.5,6.5,5.2,4.8,NA,5
"77","Kenya",NA,NA,NA,3,4.7,5.3,5.4,5.5,5,4.8,4.9,5
"78","Kiribati",NA,0,3.6,NA,3.9,10.5,7.5,NA,NA,NA,NA,NA
"79","Korea (Republic of)",0.5,0.5,0.8,0.8,1,0.8,0.9,0.7,0.7,0.7,0.7,0.6
"80","Kuwait",NA,NA,NA,1.8,2,1.8,1.8,NA,NA,NA,NA,NA
"81","Kyrgyzstan",13.8,11.7,8.7,9.7,16.8,8.5,6.8,5.3,5.5,5.2,4.5,4.2
"82","Latvia",NA,11.5,10,5.6,3.3,3.3,3.4,2.5,3.2,3.4,3.5,4.2
"83","Lebanon",NA,NA,NA,NA,3.8,3.7,3.9,4.5,4.3,3.9,4,NA
"84","Lesotho",32.4,NA,NA,NA,37.4,34.5,30.7,31.1,NA,41.2,NA,NA
"85","Liberia",NA,NA,NA,NA,3.3,4,3.2,NA,NA,NA,NA,NA
"86","Liechtenstein",NA,0,0,0,2.8,0,0,0,2.7,0,0,NA
