Country,Suicide.rate.M.2000,,Suicide.rate.M.2010,,Suicide.rate.M.2015,,Suicide.rate.M.2016
Morocco,6.7,,3,,2.5,,2.5
Mozambique,22.9,,15.5,,14,,14
Myanmar,4.8,,6.2,,6.3,,6.3
Namibia,24.3,,22.7,,19.8,,19.4
Nepal,20.9,,13.5,,11.9,,11.4
Netherlands,11.4,,11.6,,12.9,,12.9
New Zealand,21.3,,17.7,,17.3,,17.3
Nicaragua,29.4,,19.8,,19.3,,19.2
Niger,10.7,,11.7,,11.6,,11.5
Nigeria,16,,16.1,,17.2,,17.5
North Macedonia,10.3,,7.2,,9.7,,9.7
Norway,18.1,,14.7,,13.3,,13.6
Oman,7.1,,5.1,,5,,4.8
Pakistan,3.6,,3.2,,3.1,,3
Panama,11.7,,9.1,,6.7,,7.6
Papua New Guinea,11.8,,9.1,,10.1,,10.2
Paraguay,15.6,,12.6,,12.9,,12.3
Peru,8.8,,7.5,,7.6,,7.6
Philippines,4.5,,5.7,,5.4,,5.2
Poland,26.6,,28,,23.5,,23.9
Portugal,9.2,,14.4,,14.3,,14.3
Qatar,4.9,,6.5,,7.1,,7.3
Romania,19.9,,19.8,,16.2,,13.9
Russian Federation,85.8,,62.3,,49.9,,48.3
Rwanda,30.5,,18.7,,17.2,,16.9
Saint Lucia,13,,11,,12.9,,12.7
Saint Vincent and the Grenadines,13.6,,5.7,,4.3,,3.9
Samoa,16.7,,10.3,,8.9,,8.7
Sao Tome and Principe,3.8,,3.9,,4.2,,4.2
Saudi Arabia,5,,5.4,,4.6,,4.6
Senegal,22.6,,21.9,,20.8,,20.3
Serbia,25.8,,18.3,,16.8,,17.3
Seychelles,16.7,,15.6,,15.1,,15
Sierra Leone,21.9,,17.7,,17.4,,18.2
Singapore,15.5,,11.1,,10.2,,11.1
Slovakia,22.2,,20.6,,18.4,,18.4
Slovenia,40.5,,26.5,,24.3,,22.4
Solomon Islands,16.9,,10,,8.8,,8.5
Somalia,11,,10.3,,11.4,,11.5
South Africa,22.7,,22.9,,22.1,,21.7
South Sudan,11,,9.1,,8.2,,8.3
Spain,10.4,,8.1,,8.7,,9.3
Sri Lanka,47.8,,31.2,,24,,23.3
Sudan,14.6,,14.6,,14.5,,14.5
Suriname,41.5,,43.7,,38,,36.1
Sweden,16.8,,17.1,,16.9,,15.8
Switzerland,24.7,,15.9,,16.1,,15.8
Syrian Arab Republic,2.9,,3.7,,3.8,,3.8
Tajikistan,6.3,,5,,5,,5
Tanzania (United Republic of),18.2,,13.8,,14.2,,14.3
Thailand,23.7,,21,,21.7,,21.4
Timor-Leste,18.7,,10.5,,9,,9
Togo,23.2,,23,,22.3,,22.7
Tonga,5.1,,5.5,,5.2,,5.2
Trinidad and Tobago,24,,22.1,,21.7,,21.9
Tunisia,5.4,,5,,4.4,,4.4
Turkey,12,,12.8,,11.3,,11.3
Turkmenistan,16.4,,12.2,,11.6,,11
Uganda,21.2,,21.2,,21.1,,21.2
Ukraine,58.1,,41.5,,35.2,,34.5
United Arab Emirates,4.3,,3.6,,3.5,,3.5
United Kingdom,12.7,,10.6,,11.6,,11.9
United States,16.5,,18.6,,20.5,,21.1
Uruguay,28,,24.3,,28.9,,26.8
Uzbekistan,13.9,,8.9,,10.4,,10.3
Vanuatu,12.3,,9.1,,8.3,,8.1
