"","Country","2000","2010","2015","2016"
"131","Philippines",4.5,5.7,5.4,5.2
"132","Poland",26.6,28,23.5,23.9
"133","Portugal",9.2,14.4,14.3,14.3
"134","Qatar",4.9,6.5,7.1,7.3
"135","Romania",19.9,19.8,16.2,13.9
"136","Russian Federation",85.8,62.3,49.9,48.3
"137","Rwanda",30.5,18.7,17.2,16.9
"138","Saint Lucia",13,11,12.9,12.7
"139","Saint Vincent and the Grenadines",13.6,5.7,4.3,3.9
"140","Samoa",16.7,10.3,8.9,8.7
"141","Sao Tome and Principe",3.8,3.9,4.2,4.2
"142","Saudi Arabia",5,5.4,4.6,4.6
"143","Senegal",22.6,21.9,20.8,20.3
"144","Serbia",25.8,18.3,16.8,17.3
"145","Seychelles",16.7,15.6,15.1,15
"146","Sierra Leone",21.9,17.7,17.4,18.2
"147","Singapore",15.5,11.1,10.2,11.1
"148","Slovakia",22.2,20.6,18.4,18.4
"149","Slovenia",40.5,26.5,24.3,22.4
"150","Solomon Islands",16.9,10,8.8,8.5
"151","Somalia",11,10.3,11.4,11.5
"152","South Africa",22.7,22.9,22.1,21.7
"153","South Sudan",11,9.1,8.2,8.3
"154","Spain",10.4,8.1,8.7,9.3
"155","Sri Lanka",47.8,31.2,24,23.3
"156","Sudan",14.6,14.6,14.5,14.5
"157","Suriname",41.5,43.7,38,36.1
"158","Sweden",16.8,17.1,16.9,15.8
"159","Switzerland",24.7,15.9,16.1,15.8
"160","Syrian Arab Republic",2.9,3.7,3.8,3.8
"161","Tajikistan",6.3,5,5,5
"162","Tanzania (United Republic of)",18.2,13.8,14.2,14.3
"163","Thailand",23.7,21,21.7,21.4
"164","Timor-Leste",18.7,10.5,9,9
"165","Togo",23.2,23,22.3,22.7
"166","Tonga",5.1,5.5,5.2,5.2
"167","Trinidad and Tobago",24,22.1,21.7,21.9
"168","Tunisia",5.4,5,4.4,4.4
"169","Turkey",12,12.8,11.3,11.3
"170","Turkmenistan",16.4,12.2,11.6,11
"171","Uganda",21.2,21.2,21.1,21.2
"172","Ukraine",58.1,41.5,35.2,34.5
"173","United Arab Emirates",4.3,3.6,3.5,3.5
"174","United Kingdom",12.7,10.6,11.6,11.9
"175","United States",16.5,18.6,20.5,21.1
"176","Uruguay",28,24.3,28.9,26.8
"177","Uzbekistan",13.9,8.9,10.4,10.3
"178","Vanuatu",12.3,9.1,8.3,8.1
"179","Venezuela (Bolivarian Republic of)",16.1,7.7,6.8,6.6
"180","Viet Nam",11.5,11,10.9,10.8
"181","Yemen",12.8,14.6,13.6,13.4
"182","Zambia",21.9,17.9,17.4,17.5
"183","Zimbabwe",35.5,32.3,28.7,29.1
"184","Andorra",NA,NA,NA,NA
"185","Dominica",NA,NA,NA,NA
"186","Hong Kong, China (SAR)",NA,NA,NA,NA
"187","Saint Kitts and Nevis",NA,NA,NA,NA
"188","Liechtenstein",NA,NA,NA,NA
"189","Marshall Islands",NA,NA,NA,NA
"190","Palau",NA,NA,NA,NA
"191","Palestine, State of",NA,NA,NA,NA
